"Profit & Loss — Saraswati Automobiles Pvt Ltd · the whole company · 01/04/2026 to 31/03/2027 — consolidated, then per branch because a branch is a profit centre"

Head,Account,Amount,,
Income,Vehicle Sales,"₹ 21,46,124.85",,
Income,Spare Parts Sales,"₹ 17,920.00",,
Income,Labour Income,"₹ 14,400.00",,
Expense,Cost of Goods Sold — Vehicles,"₹ 19,48,700.00",,
Expense,Cost of Goods Sold — Spare Parts,"₹ 24,540.00",,
,PROFIT,"₹ 2,05,204.85",,
,,,,
Branch,Role,Income,Expenses,Profit
DEL-SAR-BW,PREMIUM,"₹ 5,96,462.22","₹ 5,75,400.00","₹ 21,062.22"
DEL-SAR-DWK,SALES,"₹ 4,92,331.32","₹ 4,32,600.00","₹ 59,731.32"
DEL-SAR-JANAK,SALES,"₹ 6,17,000.81","₹ 5,44,300.00","₹ 72,700.81"
DEL-SAR-OKHLA,SERVICE,"₹ 32,320.00","₹ 24,540.00","₹ 7,780.00"
DEL-SARASWATI,HUB,"₹ 4,40,330.50","₹ 3,96,400.00","₹ 43,930.50"
