"Stock Transfer Register — Saraswati Automobiles Pvt Ltd · the whole company · 01/04/2026 to 31/03/2027 — **not sales.** Same GSTIN is one legal person moving its own stock: a challan, no tax invoice, no GST, and no accounting entry"

Date,Challan,From,To,Chassis,Model,Value,Is a supply?,E-way,Status
04/09/2026,DC/2026-27/0001,DEL-SARASWATI,DEL-SAR-JANAK,NET-CH-0001,Splendor Plus,"₹ 62,500.00",No,REQUIRED,RECEIVED
04/09/2026,DC/2026-27/0001,DEL-SARASWATI,DEL-SAR-JANAK,NET-CH-0002,Splendor Plus,"₹ 62,500.00",No,REQUIRED,RECEIVED
04/09/2026,DC/2026-27/0001,DEL-SARASWATI,DEL-SAR-JANAK,NET-CH-0003,Splendor Plus,"₹ 62,500.00",No,REQUIRED,RECEIVED
04/09/2026,DC/2026-27/0001,DEL-SARASWATI,DEL-SAR-JANAK,NET-CH-0009,HF Deluxe,"₹ 62,500.00",No,REQUIRED,RECEIVED
04/09/2026,DC/2026-27/0001,DEL-SARASWATI,DEL-SAR-JANAK,NET-CH-0010,HF Deluxe,"₹ 62,500.00",No,REQUIRED,RECEIVED
04/09/2026,DC/2026-27/0001,DEL-SARASWATI,DEL-SAR-JANAK,NET-CH-0015,Destini 125,"₹ 62,500.00",No,REQUIRED,RECEIVED
04/09/2026,DC/2026-27/0001,DEL-SARASWATI,DEL-SAR-JANAK,NET-CH-0016,Destini 125,"₹ 62,500.00",No,REQUIRED,RECEIVED
12/09/2026,DC/2026-27/0002,DEL-SARASWATI,DEL-SAR-DWK,NET-CH-0004,Splendor Plus,"₹ 62,500.00",No,REQUIRED,RECEIVED
12/09/2026,DC/2026-27/0002,DEL-SARASWATI,DEL-SAR-DWK,NET-CH-0005,Splendor Plus,"₹ 62,500.00",No,REQUIRED,RECEIVED
12/09/2026,DC/2026-27/0002,DEL-SARASWATI,DEL-SAR-DWK,NET-CH-0017,Destini 125,"₹ 62,500.00",No,REQUIRED,RECEIVED
12/09/2026,DC/2026-27/0002,DEL-SARASWATI,DEL-SAR-DWK,NET-CH-0018,Destini 125,"₹ 62,500.00",No,REQUIRED,RECEIVED
07/10/2026,DC/2026-27/0003,DEL-SARASWATI,DEL-SAR-JANAK,NET-CH-0006,Splendor Plus,"₹ 62,500.00",No,REQUIRED,RECEIVED
07/10/2026,DC/2026-27/0003,DEL-SARASWATI,DEL-SAR-JANAK,NET-CH-0007,Splendor Plus,"₹ 62,500.00",No,REQUIRED,RECEIVED
07/10/2026,DC/2026-27/0003,DEL-SARASWATI,DEL-SAR-JANAK,NET-CH-0025,Xtreme 125R,"₹ 62,500.00",No,REQUIRED,RECEIVED
07/10/2026,DC/2026-27/0003,DEL-SARASWATI,DEL-SAR-JANAK,NET-CH-0029,Vida V2 Plus,"₹ 62,500.00",No,REQUIRED,RECEIVED
10/10/2026,DC/2026-27/0004,DEL-SARASWATI,DEL-SAR-DWK,NET-CH-0011,HF Deluxe,"₹ 62,500.00",No,REQUIRED,RECEIVED
10/10/2026,DC/2026-27/0004,DEL-SARASWATI,DEL-SAR-DWK,NET-CH-0026,Xtreme 125R,"₹ 62,500.00",No,REQUIRED,RECEIVED
10/10/2026,DC/2026-27/0004,DEL-SARASWATI,DEL-SAR-DWK,NET-CH-0030,Vida V2 Plus,"₹ 62,500.00",No,REQUIRED,RECEIVED
16/10/2026,DC/2026-27/0005,DEL-SARASWATI,DEL-SAR-BW,NET-CH-0032,Mavrick 440,"₹ 62,500.00",No,REQUIRED,RECEIVED
16/10/2026,DC/2026-27/0005,DEL-SARASWATI,DEL-SAR-BW,NET-CH-0033,Mavrick 440,"₹ 62,500.00",No,REQUIRED,RECEIVED
05/11/2026,DC/2026-27/0006,DEL-SARASWATI,DEL-SAR-JANAK,NET-CH-0008,Splendor Plus,"₹ 62,500.00",No,REQUIRED,RECEIVED
05/11/2026,DC/2026-27/0006,DEL-SARASWATI,DEL-SAR-JANAK,NET-CH-0019,Splendor Plus,"₹ 62,500.00",No,REQUIRED,RECEIVED
09/11/2026,DC/2026-27/0007,DEL-SARASWATI,DEL-SAR-DWK,NET-CH-0020,Splendor Plus,"₹ 62,500.00",No,REQUIRED,RECEIVED
09/11/2026,DC/2026-27/0007,DEL-SARASWATI,DEL-SAR-DWK,NET-CH-0031,Vida V2 Plus,"₹ 62,500.00",No,REQUIRED,RECEIVED
13/11/2026,DC/2026-27/0008,DEL-SARASWATI,DEL-SAR-BW,NET-CH-0043,Karizma XMR 210,"₹ 62,500.00",No,REQUIRED,RECEIVED
13/11/2026,DC/2026-27/0008,DEL-SARASWATI,DEL-SAR-BW,NET-CH-0040,Xpulse 200 4V,"₹ 62,500.00",No,REQUIRED,RECEIVED
