"Central End of Day — Saraswati Automobiles Pvt Ltd · **per company**, because that is whose cash it is · every evening from 01/04/2026 to 31/03/2027"

Date,Branch,Role,Closed?,Counted Cash,Difference,Reason,From Financiers,From the OEM
30/09/2026,DEL-SAR-BW,PREMIUM,**No**,,,nobody counted this till,₹ 0.00,₹ 0.00
30/09/2026,DEL-SAR-DWK,SALES,**No**,,,nobody counted this till,₹ 0.00,₹ 0.00
30/09/2026,DEL-SAR-JANAK,SALES,Yes,₹ 0.00,₹ 0.00,EXACT,₹ 0.00,₹ 0.00
30/09/2026,DEL-SAR-OKHLA,SERVICE,**No**,,,nobody counted this till,₹ 0.00,₹ 0.00
30/09/2026,DEL-SARASWATI,HUB,Yes,₹ 0.00,₹ 0.00,EXACT,₹ 0.00,₹ 0.00
30/09/2026,SARASWATI — the company,,2 of 5,₹ 0.00,₹ 0.00,**does not reconcile**,₹ 0.00,₹ 0.00
31/10/2026,DEL-SAR-BW,PREMIUM,**No**,,,nobody counted this till,₹ 0.00,₹ 0.00
31/10/2026,DEL-SAR-DWK,SALES,Yes,₹ 0.00,₹ 0.00,EXACT,₹ 0.00,₹ 0.00
31/10/2026,DEL-SAR-JANAK,SALES,Yes,₹ -450.00,₹ -450.00,UNEXPLAINED,₹ 0.00,₹ 0.00
31/10/2026,DEL-SAR-OKHLA,SERVICE,**No**,,,nobody counted this till,₹ 0.00,₹ 0.00
31/10/2026,DEL-SARASWATI,HUB,Yes,₹ 0.00,₹ 0.00,EXACT,₹ 0.00,₹ 0.00
31/10/2026,SARASWATI — the company,,3 of 5,₹ -450.00,₹ -450.00,**does not reconcile**,₹ 0.00,₹ 0.00
30/11/2026,DEL-SAR-BW,PREMIUM,**No**,,,nobody counted this till,₹ 0.00,₹ 0.00
30/11/2026,DEL-SAR-DWK,SALES,Yes,₹ 200.00,₹ 200.00,MISCOUNT,₹ 0.00,₹ 0.00
30/11/2026,DEL-SAR-JANAK,SALES,Yes,₹ -450.00,₹ 0.00,EXACT,₹ 0.00,₹ 0.00
30/11/2026,DEL-SAR-OKHLA,SERVICE,**No**,,,nobody counted this till,₹ 0.00,₹ 0.00
30/11/2026,DEL-SARASWATI,HUB,Yes,₹ 0.00,₹ 0.00,EXACT,₹ 0.00,₹ 0.00
30/11/2026,SARASWATI — the company,,3 of 5,₹ -250.00,₹ 200.00,**does not reconcile**,₹ 0.00,₹ 0.00
