Vehicle Stock Register — as on date

Chassis No,Engine No,Model Code,Model,Variant,Colour,Stock Status,Allocated Deal,Cost Value,Financed,Interest %,Received Date,Allocated Date,Invoiced Date
MBLHAR0748NK52201,HA11ELNK52201,HER-XTR-125R,Xtreme 125R,Xtreme 125R ABS,Sports Red,IN_STOCK,,"₹ 1,04,800.00",Y,9.25,09/04/2026,,
MBLHAR0748NK52202,HA11ELNK52202,HER-XPL-200,Xpulse 200 4V,Xpulse 200 4V Pro,Matte Nexus Blue,IN_STOCK,,"₹ 1,48,900.00",Y,9.25,01/05/2026,,
MBLHAR0748NK52203,HA11ELNK52203,HER-SPL-PLUS,Splendor Plus,Splendor Plus Xtec,Black with Red,IN_STOCK,,"₹ 78,200.00",Y,9.25,19/06/2026,,
MBLHAR0748NK52204,HA11ELNK52204,HER-DST-125,Destini 125,Destini 125 Alloy,Pearl Silver White,ALLOCATED,HMC-DL-2026-000174,"₹ 84,600.00",Y,9.25,07/03/2026,16/03/2026,
MBLHAR0748NK52205,HA11ELNK52205,HER-HFD-100,HF Deluxe,HF Deluxe Self Alloy,Heavy Grey,IN_STOCK,,"₹ 61,400.00",Y,9.25,27/07/2026,,
MBLHAR0748NK52206,HA11ELNK52206,HER-SPL-PLUS,Splendor Plus,Splendor Plus Xtec,Candy Blazing Red,INVOICED,HMC-DL-2026-000181,"₹ 78,200.00",Y,9.25,02/07/2026,15/07/2026,17/07/2026
MBLHAR0748NK65001,VD12ERNHK65001,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Black with Purple,ALLOCATED,,"₹ 72,027.00",Y,9.85,19/04/2026,21/04/2026,
MBLHAR0748NK65003,PA33ERNHK65003,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Heavy Grey Green,IN_STOCK,,"₹ 72,027.00",Y,9.85,22/04/2026,,
MBLHAR0748NK65005,PA33ERNHK65005,HER-GLM-125,Glamour 125,Glamour 125,Black with Purple,ALLOCATED,,"₹ 81,536.00",N,,31/07/2026,05/08/2026,
MBLHAR0748NK65009,PA33ERNHK65009,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Matte Axis Grey,IN_STOCK,,"₹ 72,027.00",Y,9.85,25/05/2026,,
MBLHAR0748NK65011,PA33ERNHK65011,HER-HFD-100,HF Deluxe,HF Deluxe,Glaze Black,ALLOCATED,,"₹ 55,874.00",Y,,28/06/2026,02/07/2026,
MBLHAR0748NK65012,KA21ERNHK65012,HER-HFD-100,HF Deluxe,HF Deluxe,Techno Blue,IN_STOCK,,"₹ 55,874.00",Y,9.85,27/06/2026,,
MBLHAR0748NK65014,HA11ERNHK65014,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Nexus Blue,IN_STOCK,,"₹ 72,027.00",Y,,18/07/2026,,
MBLHAR0748NK65015,KA21ERNHK65015,HER-XTR-125R,Xtreme 125R,Xtreme 125R,Matte Axis Grey,ALLOCATED,,"₹ 95,368.00",Y,9.85,08/07/2026,13/07/2026,
MBLHAR0748NK65016,VD12ERNHK65016,HER-XPL-200,Xpulse 200 4V,Xpulse 200 4V,Nexus Blue,IN_STOCK,,"₹ 1,40,868.00",N,9.85,18/07/2026,,
MBLHAR0748NK65020,VD12ERNHK65020,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Matte Axis Grey,ALLOCATED,,"₹ 72,027.00",Y,,25/06/2026,28/06/2026,
MBLHAR0748NK65021,PA33ERNHK65021,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Matte Axis Grey,IN_STOCK,,"₹ 72,027.00",Y,,19/07/2026,,
MBLHAR0748NK65023,HA11ERNHK65023,HER-HFD-100,HF Deluxe,HF Deluxe,Nexus Blue,IN_STOCK,,"₹ 55,874.00",Y,,06/07/2026,,
MBLHAR0748NK65024,HA11ERNHK65024,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Glaze Black,IN_STOCK,,"₹ 72,027.00",Y,,30/07/2026,,
MBLHAR0748NK65026,VD12ERNHK65026,HER-HFD-100,HF Deluxe,HF Deluxe,Techno Blue,IN_STOCK,,"₹ 55,874.00",Y,9.85,04/07/2026,,
MBLHAR0748NK65027,VD12ERNHK65027,HER-DST-125,Destini 125,Destini 125,Heavy Grey Green,ALLOCATED,,"₹ 76,713.00",N,9.85,13/05/2026,17/05/2026,
MBLHAR0748NK65028,HA11ERNHK65028,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Matte Axis Grey,ALLOCATED,,"₹ 72,027.00",Y,9.85,24/06/2026,04/07/2026,
MBLHAR0748NK65029,KA21ERNHK65029,HER-XTR-125R,Xtreme 125R,Xtreme 125R,Techno Blue,IN_STOCK,,"₹ 95,368.00",Y,,10/07/2026,,
MBLHAR0748NK65030,HA11ERNHK65030,HER-HFD-100,HF Deluxe,HF Deluxe,Heavy Grey Green,IN_STOCK,,"₹ 55,874.00",Y,9.85,15/07/2026,,
MBLHAR0748NK65031,HA11ERNHK65031,HER-DST-125,Destini 125,Destini 125,Heavy Grey Green,IN_STOCK,,"₹ 76,713.00",Y,,25/06/2026,,
MBLHAR0748NK65034,KA21ERNHK65034,HER-DST-125,Destini 125,Destini 125,Heavy Grey Green,IN_STOCK,,"₹ 76,713.00",N,,20/07/2026,,
MBLHAR0748NK65035,KA21ERNHK65035,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Sports Red,IN_STOCK,,"₹ 72,027.00",Y,9.85,25/05/2026,,
MBLHAR0748NK65036,VD12ERNHK65036,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Matte Axis Grey,ALLOCATED,,"₹ 72,027.00",Y,9.85,30/07/2026,05/08/2026,
MBLHAR0748NK65038,VD12ERNHK65038,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Black with Purple,IN_STOCK,,"₹ 72,027.00",Y,9.85,24/07/2026,,
MBLHAR0748NK65039,KA21ERNHK65039,HER-XPL-200,Xpulse 200 4V,Xpulse 200 4V,Techno Blue,IN_STOCK,,"₹ 1,40,868.00",Y,9.85,02/07/2026,,
MBLHAR0748NK65041,HA11ERNHK65041,HER-PSN-PLUS,Passion Plus,Passion Plus,Techno Blue,IN_STOCK,,"₹ 75,712.00",Y,,13/07/2026,,
MBLHAR0748NK65043,PA33ERNHK65043,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Glaze Black,IN_STOCK,,"₹ 72,027.00",Y,9.85,15/07/2026,,
MBLHAR0748NK65045,PA33ERNHK65045,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Glaze Black,IN_STOCK,,"₹ 72,027.00",Y,9.85,12/07/2026,,
MBLHAR0748NK65051,KA21ERNHK65051,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Techno Blue,IN_STOCK,,"₹ 72,027.00",Y,9.85,05/03/2026,,
MBLKAR0921NK65000,HA11ERNHK65000,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Nexus Blue,IN_STOCK,,"₹ 72,027.00",Y,,14/07/2026,,
MBLKAR0921NK65003,VD12ERNHK65003,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Candy Blazing Red,IN_STOCK,,"₹ 72,027.00",N,9.85,25/07/2026,,
MBLKAR0921NK65006,KA21ERNHK65006,HER-HFD-100,HF Deluxe,HF Deluxe,Nexus Blue,IN_STOCK,,"₹ 55,874.00",Y,9.85,03/08/2026,,
MBLKAR0921NK65007,HA11ERNHK65007,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Black with Purple,IN_STOCK,,"₹ 72,027.00",Y,,23/07/2026,,
MBLKAR0921NK65008,HA11ERNHK65008,HER-HFD-100,HF Deluxe,HF Deluxe,Sports Red,IN_STOCK,,"₹ 55,874.00",Y,9.85,25/06/2026,,
MBLKAR0921NK65013,HA11ERNHK65013,HER-DST-125,Destini 125,Destini 125,Techno Blue,IN_STOCK,,"₹ 76,713.00",N,9.85,10/06/2026,,
MBLKAR0921NK65014,VD12ERNHK65014,HER-XPL-200,Xpulse 200 4V,Xpulse 200 4V,Heavy Grey Green,IN_STOCK,,"₹ 1,40,868.00",N,9.85,20/04/2026,,
MBLKAR0921NK65017,PA33ERNHK65017,HER-HFD-100,HF Deluxe,HF Deluxe,Sports Red,IN_STOCK,,"₹ 55,874.00",Y,9.85,04/07/2026,,
