Spare Parts Stock — as on date

Part No,Part Description,Bin Location,Qty On Hand,Qty Reserved,Reorder Level,MRP,Cost,Last Received,Last Issued,On Order Qty,On Order ETA
HR-ACC-CBL,Accelerator cable,D-16-3,17,0,3,₹ 152.00,₹ 109.00,23/06/2026,01/08/2026,0,
HR-ACC-CBL-1,Accelerator cable,C-04-3,17,17,6,₹ 152.00,₹ 109.00,21/06/2026,19/07/2026,0,
HR-ACC-CBL-2,Accelerator cable,A-08-4,8,0,3,₹ 152.00,₹ 109.00,16/07/2026,18/07/2026,0,
HR-AIR-FLT-125,Air filter element — 125cc,A-13-1,32,1,8,₹ 240.00,₹ 173.00,08/07/2026,26/07/2026,0,
HR-AIR-FLT-125-1,Air filter element — 125cc,C-17-1,2,0,5,₹ 240.00,₹ 173.00,22/09/2025,19/02/2026,0,
HR-AIR-FLT-125-2,Air filter element — 125cc,D-01-1,3,1,7,₹ 240.00,₹ 173.00,05/07/2026,26/07/2026,0,
HR-BAT-4AH,Battery 4Ah maintenance free,A-18-1,29,0,6,"₹ 1,180.00",₹ 850.00,19/06/2026,13/07/2026,0,
HR-BAT-4AH-1,Battery 4Ah maintenance free,C-03-3,20,0,2,"₹ 1,180.00",₹ 850.00,05/07/2026,03/08/2026,0,
HR-BAT-5AH,Battery 12V 5Ah,B-02-4,1,0,4,"₹ 1,580.00","₹ 1,195.00",15/07/2026,04/08/2026,0,
HR-BRK-SHOE-F,Brake shoe set — front,A-17-1,16,1,4,₹ 385.00,₹ 277.00,07/06/2026,09/07/2026,0,
HR-BRK-SHOE-F-1,Brake shoe set — front,D-04-1,28,0,6,₹ 385.00,₹ 277.00,13/06/2026,30/07/2026,0,
HR-BRK-SHOE-F-2,Brake shoe set — front,A-14-3,24,0,7,₹ 385.00,₹ 277.00,24/07/2026,27/07/2026,0,
HR-BRK-SHOE-R,Brake shoe set — rear,A-04-2,0,0,4,₹ 520.00,₹ 398.00,02/07/2026,31/07/2026,0,
HR-CBL-THR-01,Throttle cable assembly,C-03-1,11,0,4,₹ 265.00,₹ 188.00,09/04/2026,30/04/2026,0,
HR-CHN-SPR-KIT,Chain and sprocket kit,A-05-1,4,0,5,"₹ 1,340.00",₹ 965.00,30/08/2025,17/02/2026,0,
HR-CHN-SPR-KIT-1,Chain and sprocket kit,A-09-4,3,0,5,"₹ 1,340.00",₹ 965.00,26/10/2025,24/12/2025,0,
HR-CHN-SPR-KIT-2,Chain and sprocket kit,C-07-2,4,0,4,"₹ 1,340.00",₹ 965.00,11/06/2026,18/07/2026,18,17/08/2026
HR-CLT-CBL,Clutch cable,C-12-2,6,0,5,₹ 165.00,₹ 119.00,01/11/2025,16/03/2026,0,
HR-CLT-CBL-1,Clutch cable,C-04-3,11,1,2,₹ 165.00,₹ 119.00,15/07/2026,04/08/2026,0,
HR-CLT-CBL-2,Clutch cable,C-09-3,6,0,2,₹ 165.00,₹ 119.00,17/06/2026,23/07/2026,0,
HR-CLT-PLATE-125,Clutch plate set 125cc,C-07-3,0,0,2,"₹ 1,240.00",₹ 940.00,19/06/2026,03/08/2026,3,29/07/2026
HR-CRB-KIT,Carburettor repair kit,A-12-4,1,0,3,₹ 410.00,₹ 295.00,24/06/2026,28/07/2026,0,
HR-CRB-KIT-1,Carburettor repair kit,C-10-4,3,0,7,₹ 410.00,₹ 295.00,08/08/2025,18/12/2025,0,
HR-DSC-PAD-F,Disc brake pad set — front,D-18-2,4,0,8,₹ 620.00,₹ 446.00,18/06/2026,14/07/2026,5,27/07/2026
HR-DSC-PAD-F-1,Disc brake pad set — front,D-17-3,24,0,7,₹ 620.00,₹ 446.00,11/07/2026,,0,
HR-ENG-OIL-1L,Engine oil 10W30 — 1 litre,A-16-4,5,0,3,₹ 480.00,₹ 346.00,05/07/2026,17/07/2026,0,
HR-ENG-OIL-1L-1,Engine oil 10W30 — 1 litre,D-02-4,24,0,2,₹ 480.00,₹ 346.00,12/07/2026,25/07/2026,0,
HR-FLT-OIL-97,Oil filter element 97cc,A-01-3,18,2,8,₹ 145.00,₹ 104.00,27/07/2026,05/08/2026,0,
HR-FRK-SEAL,Front fork oil seal — pair,A-10-4,8,8,4,₹ 296.00,₹ 213.00,09/07/2026,16/07/2026,0,
HR-FRK-SEAL-1,Front fork oil seal — pair,A-08-2,3,0,3,₹ 296.00,₹ 213.00,24/07/2026,14/07/2026,6,14/08/2026
HR-FRK-SEAL-2,Front fork oil seal — pair,B-07-1,2,0,7,₹ 296.00,₹ 213.00,17/07/2025,28/01/2026,0,
HR-HDL-BULB,Headlamp bulb,C-03-4,1,0,8,₹ 118.00,₹ 85.00,16/06/2026,19/07/2026,11,12/08/2026
HR-HDL-BULB-1,Headlamp bulb,C-14-3,13,0,8,₹ 118.00,₹ 85.00,09/06/2026,,0,
HR-HDL-BULB-2,Headlamp bulb,D-02-4,3,2,8,₹ 118.00,₹ 85.00,21/06/2026,06/07/2026,17,04/08/2026
HR-HRN-12V,Horn 12V,C-15-1,9,0,3,₹ 285.00,₹ 205.00,28/06/2026,08/07/2026,0,
HR-HRN-12V-1,Horn 12V,C-18-3,29,0,6,₹ 285.00,₹ 205.00,06/06/2026,29/07/2026,0,
HR-IND-LENS-L,Indicator lens — left,A-18-4,7,0,2,₹ 96.00,₹ 69.00,12/06/2026,22/07/2026,0,
HR-IND-LENS-L-1,Indicator lens — left,A-05-1,1,0,6,₹ 96.00,₹ 69.00,08/07/2026,25/07/2026,0,
HR-MIR-RH,Rear view mirror — right,A-01-4,10,0,7,₹ 210.00,₹ 151.00,06/07/2026,26/07/2026,0,
HR-MIR-RH-1,Rear view mirror — right,B-08-1,17,0,5,₹ 210.00,₹ 151.00,22/07/2026,13/07/2026,0,
HR-MIR-RH-2,Rear view mirror — right,C-16-2,10,0,2,₹ 210.00,₹ 151.00,24/07/2026,25/07/2026,0,
HR-OIL-10W30,Engine oil 10W30 (900ml),A-01-1,34,4,12,₹ 410.00,₹ 302.00,27/07/2026,05/08/2026,0,
HR-OIL-FLT-97,Oil filter — 97cc,A-12-2,23,0,4,₹ 95.00,₹ 68.00,21/06/2026,15/07/2026,0,
HR-OIL-FLT-97-1,Oil filter — 97cc,A-14-1,7,0,3,₹ 95.00,₹ 68.00,01/10/2025,12/11/2025,0,
HR-OIL-FLT-97-2,Oil filter — 97cc,A-10-4,10,10,2,₹ 95.00,₹ 68.00,19/06/2026,25/07/2026,0,
HR-PNL-SIDE-L,"Side panel — left, painted",D-11-1,0,0,1,"₹ 2,340.00","₹ 1,810.00",01/05/2026,25/06/2026,1,11/08/2026
HR-PNL-SIDE-R,Side panel — right,C-03-1,15,0,3,₹ 720.00,₹ 518.00,03/07/2026,30/07/2026,0,
HR-PNL-SIDE-R-1,Side panel — right,D-16-1,17,0,2,₹ 720.00,₹ 518.00,13/06/2026,15/07/2026,0,
HR-PST-RING,Piston ring set,A-05-1,28,0,4,₹ 545.00,₹ 392.00,15/06/2026,16/07/2026,0,
HR-PST-RING-1,Piston ring set,B-08-1,16,0,7,₹ 545.00,₹ 392.00,12/07/2026,15/07/2026,0,
HR-SDE-STND-SPR,Side stand spring,D-10-4,15,0,8,₹ 64.00,₹ 46.00,08/07/2026,30/07/2026,0,
HR-SDE-STND-SPR-1,Side stand spring,D-11-1,11,11,3,₹ 64.00,₹ 46.00,09/07/2026,13/07/2026,0,
HR-SEAT-ASSY,Seat assembly,C-01-3,6,0,3,"₹ 1,480.00","₹ 1,066.00",06/06/2026,16/07/2026,0,
HR-SEAT-ASSY-1,Seat assembly,B-11-3,12,0,2,"₹ 1,480.00","₹ 1,066.00",11/06/2026,20/07/2026,0,
HR-SPK-PLUG,Spark plug,A-03-2,4,4,10,₹ 180.00,₹ 121.00,20/07/2026,05/08/2026,0,
HR-SPK-PLUG-A,Spark plug,A-08-4,15,1,4,₹ 128.00,₹ 92.00,19/06/2026,24/07/2026,0,
HR-SPK-PLUG-A-1,Spark plug,B-05-4,7,0,7,₹ 128.00,₹ 92.00,01/08/2026,04/08/2026,19,12/08/2026
HR-SPK-PLUG-A-2,Spark plug,B-06-3,8,0,4,₹ 128.00,₹ 92.00,17/08/2025,10/09/2025,0,
HR-SWG-BUSH,Swing arm bush kit,C-01-4,8,2,2,₹ 178.00,₹ 128.00,13/06/2026,29/07/2026,0,
HR-SWG-BUSH-1,Swing arm bush kit,D-01-2,8,2,8,₹ 178.00,₹ 128.00,23/02/2026,15/10/2025,0,
HR-TUBE-18,Tube 18 inch,D-04-2,7,2,5,₹ 245.00,₹ 176.00,29/06/2026,31/07/2026,0,
HR-TUBE-18-1,Tube 18 inch,D-14-1,8,0,5,₹ 245.00,₹ 176.00,19/06/2026,20/07/2026,0,
HR-TYR-REAR-90,Rear tyre 90/90-18,B-09-4,25,0,3,"₹ 1,620.00","₹ 1,166.00",19/06/2026,06/07/2026,0,
HR-TYR-REAR-90-1,Rear tyre 90/90-18,C-03-2,25,0,5,"₹ 1,620.00","₹ 1,166.00",12/06/2026,17/07/2026,0,
HR-VLV-SET,Valve set,B-12-1,11,0,7,₹ 690.00,₹ 497.00,04/07/2026,22/07/2026,0,
HR-VLV-SET-1,Valve set,C-16-2,19,2,5,₹ 690.00,₹ 497.00,26/07/2026,03/08/2026,0,
NET-PT-AIR-FLT,Air filter element,,8,0,0,,,06/10/2026,,0,
NET-PT-AIR-FLT,Air filter element,,52,0,8,₹ 298.00,₹ 210.00,01/09/2026,,0,
NET-PT-BRK-SHOE-R,"Brake shoe set, rear",,14,0,0,,,10/11/2026,,0,
NET-PT-BRK-SHOE-R,"Brake shoe set, rear",,34,0,6,₹ 341.00,₹ 240.00,01/09/2026,,0,
NET-PT-CHAIN-KIT,Chain and sprocket kit,,20,0,4,"₹ 1,676.00","₹ 1,180.00",01/09/2026,,0,
NET-PT-CHAIN-KIT,Chain and sprocket kit,,2,0,0,,,06/10/2026,,0,
NET-PT-CLUTCH-PL,Clutch plate set,,15,0,4,₹ 909.00,₹ 640.00,01/09/2026,,0,
NET-PT-CLUTCH-PL,Clutch plate set,,3,0,0,,,10/11/2026,,0,
NET-PT-OIL-FLT,Oil filter element,,22,0,0,,,06/10/2026,,0,
NET-PT-OIL-FLT,Oil filter element,,68,0,12,₹ 121.00,₹ 85.00,01/09/2026,,0,
NET-PT-OIL-FLT,Oil filter element,,6,0,0,,,20/10/2026,,0,
VID-BRK-PAD-F,"Brake pad set — front, Vida",E-02-1,8,0,2,₹ 890.00,₹ 712.00,06/03/2026,,0,
Total,78 part numbers,,,,,,,,,,
